售价,每平米,小区名称,所处区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,房屋用途,交易权属
690万,103140,北新仓胡同,"东城,东直门",2室1厅1厨1卫,中楼层 (共14层),66.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,房屋用途,商品房
558万,89038,兴化西里,"东城,和平里",2室1厅1厨2卫,中楼层 (共5层),62.67㎡,平层,62.67㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,房屋用途,商品房
1050万,62523,雍和家园二期,"东城,和平里",2室1厅1厨2卫,中楼层 (共6层),167.94㎡,平层,140㎡,板楼,东,钢混结构,简装,两梯六户,集中供暖,有,70年,房屋用途,商品房
1070万,95315,和平新城一期,"东城,和平里",3室1厅1厨2卫,中楼层 (共19层),112.26㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,三梯十户,自供暖,有,70年,房屋用途,商品房
1490万,113059,海晟名苑南区,"东城,工体",2室2厅1厨2卫,高楼层 (共22层),131.79㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
650万,114619,和平里三区,"东城,和平里",2室1厅1厨1卫,底层 (共6层),56.71㎡,平层,45㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,央产房
718万,84233,广渠家园,"东城,广渠门",3室1厅1厨1卫,高楼层 (共28层),85.24㎡,平层,67.43㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,房屋用途,二类经济适用房
730万,93232,民安小区东直门内北小街,"东城,东直门",2室1厅1厨1卫,底层 (共14层),78.3㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
499万,69518,景泰东里,"东城,蒲黄榆",2室1厅1厨1卫,顶层 (共9层),71.78㎡,平层,54.03㎡,板塔结合,南 北,混合结构,精装,四梯五十户,集中供暖,有,70年,房屋用途,已购公房
613万,100906,新景家园东区,"东城,崇文门",1室1厅1厨1卫,中楼层 (共12层),60.75㎡,平层,48.7㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,二类经济适用房
550万,99028,朝阳门内大街,"东城,朝阳门内",2室1厅1厨1卫,高楼层 (共6层),55.54㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
490万,118272,交林,"东城,和平里",2室1厅1厨1卫,中楼层 (共5层),41.43㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
550万,106281,大方家胡同,"东城,朝阳门内",1室1厅1厨1卫,低楼层 (共6层),51.75㎡,平层,暂无数据,板楼,东 西 北,钢混结构,精装,一梯四户,集中供暖,无,70年,房屋用途,私产
515万,61493,建予园,"东城,永定门",2室1厅1厨1卫,中楼层 (共16层),83.75㎡,平层,68.27㎡,塔楼,东,钢混结构,简装,两梯十户,集中供暖,有,70年,房屋用途,商品房
455万,75332,金世纪嘉园,"东城,广渠门",1室1厅1厨1卫,中楼层 (共21层),60.4㎡,平层,47.94㎡,塔楼,东北,钢混结构,简装,三梯十二户,集中供暖,有,70年,房屋用途,二类经济适用房
620万,110419,交道口北三条,"东城,交道口",2室1厅1厨1卫,顶层 (共6层),56.15㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
595万,99816,安外花园,"东城,和平里",2室1厅1厨1卫,中楼层 (共5层),59.61㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
520万,96799,黄寺大街2号院,"东城,安定门",2室1厅1厨1卫,底层 (共6层),53.72㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
700万,95472,海晟名苑北区,"东城,工体",1室1厅1厨1卫,高楼层 (共22层),73.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,五梯十九户,集中供暖,有,70年,房屋用途,商品房
932万,102678,新景家园东区,"东城,崇文门",3室1厅1厨1卫,高楼层 (共17层),90.77㎡,平层,74.03㎡,板塔结合,东 西,钢混结构,精装,两梯四户,自供暖,有,70年,房屋用途,二类经济适用房
875万,96133,新景家园西区,"东城,崇文门",3室1厅1厨1卫,高楼层 (共16层),91.02㎡,平层,74.42㎡,板楼,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,房屋用途,二类经济适用房
320万,110345,兴隆都市馨园,"东城,崇文门",1室0厅1厨1卫,底层 (共7层),29㎡,平层,21.1㎡,塔楼,西,钢混结构,简装,两梯三十一户,集中供暖,有,70年,房屋用途,商品房
477万,117575,和平里三区,"东城,和平里",1室1厅1厨1卫,中楼层 (共6层),40.57㎡,平层,暂无数据,板楼,西南 北,混合结构,精装,一梯四户,集中供暖,无,70年,房屋用途,央产房
750万,103936,竹杆胡同,"东城,朝阳门内",2室1厅1厨1卫,中楼层 (共9层),72.16㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯四户,集中供暖,有,70年,房屋用途,商品房
550万,153546,东棉花胡同2号院,"东城,地安门",1室1厅1厨1卫,中楼层 (共5层),35.82㎡,平层,30㎡,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
315万,110140,兴隆都市馨园,"东城,崇文门",1室0厅1厨1卫,底层 (共7层),28.6㎡,平层,暂无数据,塔楼,北,钢混结构,简装,两梯九十八户,集中供暖,有,70年,房屋用途,商品房
845万,94277,东花市北里中区,"东城,东花市",2室2厅1厨1卫,中楼层 (共6层),89.63㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,央产房
450万,85928,崇文门西大街,"东城,前门",2室1厅1厨1卫,低楼层 (共13层),52.37㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,有,70年,房屋用途,已购公房
950万,79739,京禧阁,"东城,广渠门",2室2厅1厨2卫,中楼层 (共22层),119.14㎡,平层,97.73㎡,塔楼,西南,钢混结构,精装,四梯十户,集中供暖,有,70年,房屋用途,商品房
1050万,110469,和平里二区,"东城,和平里",3室1厅1厨1卫,低楼层 (共20层),95.05㎡,平层,75.96㎡,塔楼,西南 北,钢混结构,简装,三梯十二户,集中供暖,有,70年,房屋用途,二类经济适用房
558万,90614,金鱼池西区,"东城,天坛",2室1厅1厨1卫,中楼层 (共5层),61.58㎡,平层,53.61㎡,板塔结合,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,房屋用途,二类经济适用房
705万,85414,民安小区东直门内北小街,"东城,东直门",2室1厅1厨1卫,低楼层 (共16层),82.54㎡,平层,暂无数据,板楼,东 西,钢混结构,简装,四梯三户,集中供暖,有,70年,房屋用途,二类经济适用房
585万,104502,芳嘉园胡同,"东城,朝阳门内",1室1厅1厨1卫,中楼层 (共6层),55.98㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,二类经济适用房
499万,66111,新永外文化用品商城,"东城,永定门",2室1厅1厨1卫,高楼层 (共15层),75.48㎡,平层,57.53㎡,板塔结合,南,钢混结构,简装,三梯二十三户,集中供暖,有,70年,房屋用途,商品房
515万,56131,美惠大厦,"东城,朝阳门外",1室1厅1厨1卫,低楼层 (共15层),91.75㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
1000万,107205,交道口东大街,"东城,交道口",3室1厅1厨1卫,底层 (共12层),93.28㎡,平层,暂无数据,板塔结合,北 西 南,钢混结构,简装,两梯七户,集中供暖,有,70年,房屋用途,二类经济适用房
780万,101273,国瑞城东区,"东城,崇文门",2室1厅1厨1卫,中楼层 (共16层),77.02㎡,平层,61.38㎡,板塔结合,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,房屋用途,二类经济适用房
426万,109936,新中西街,"东城,朝阳门外",1室1厅1厨1卫,中楼层 (共7层),38.75㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯八户,集中供暖,无,70年,房屋用途,已购公房
350万,90346,李村东里,"东城,永定门",1室1厅1厨1卫,底层 (共6层),38.74㎡,平层,暂无数据,板楼,西,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
700万,88867,东环居苑,"东城,广渠门",2室1厅1厨1卫,中楼层 (共22层),78.77㎡,平层,63.24㎡,塔楼,东南,钢混结构,精装,三梯十二户,集中供暖,有,70年,房屋用途,商品房
425万,102066,新中西街,"东城,朝阳门外",1室1厅1厨1卫,中楼层 (共7层),41.64㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
585万,94584,兴化西里,"东城,和平里",2室1厅1厨2卫,中楼层 (共5层),61.85㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
560万,107280,仓夹道,"东城,东直门",1室1厅1厨1卫,中楼层 (共23层),52.2㎡,平层,暂无数据,塔楼,东,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,二类经济适用房
725万,87784,东环居苑,"东城,广渠门",2室1厅1厨1卫,顶层 (共18层),82.59㎡,平层,66.94㎡,塔楼,南,钢混结构,精装,两梯九户,集中供暖,有,70年,房屋用途,商品房
590万,98778,新景家园东区,"东城,崇文门",1室1厅1厨1卫,高楼层 (共17层),59.73㎡,平层,47.79㎡,板塔结合,东,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,商品房
780万,101908,大方家胡同,"东城,朝阳门内",2室1厅1厨1卫,高楼层 (共16层),76.54㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,三梯两户,集中供暖,有,70年,房屋用途,商品房
439万,98652,察慈小区,"东城,东直门",1室1厅1厨1卫,中楼层 (共12层),44.5㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯十一户,集中供暖,有,70年,房屋用途,商品房
972万,100093,雍和家园一期,"东城,和平里",2室1厅1厨1卫,中楼层 (共16层),97.11㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
516万,82192,金桥国际,"东城,广渠门",1室1厅1厨1卫,低楼层 (共21层),62.78㎡,平层,47.21㎡,塔楼,南,钢混结构,精装,八梯十六户,集中供暖,有,70年,房屋用途,私产
780万,100309,新景家园东区,"东城,崇文门",2室1厅1厨1卫,中楼层 (共13层),77.76㎡,平层,63.99㎡,板塔结合,南 北,钢混结构,精装,两梯三户,自供暖,有,70年,房屋用途,私产
420万,69170,景泰西里西区,"东城,永定门",1室1厅1厨1卫,底层 (共8层),60.72㎡,平层,51.2㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,商品房
770万,105364,民安小区东羊管胡同,"东城,东直门",2室1厅1厨1卫,底层 (共6层),73.08㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,房屋用途,商品房
455万,96583,东中街,"东城,东直门",1室1厅1厨1卫,中楼层 (共14层),47.11㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯七户,集中供暖,有,70年,房屋用途,商品房
868万,79604,远洋德邑,"东城,广渠门",3室1厅1厨1卫,中楼层 (共13层),109.04㎡,平层,88.4㎡,板塔结合,西南,钢混结构,简装,一梯四户,集中供暖,有,70年,房屋用途,商品房
510万,92610,甘水桥,"东城,和平里",2室1厅1厨1卫,顶层 (共5层),55.07㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
420万,59499,西革新里112号院,"东城,永定门",2室1厅1厨1卫,中楼层 (共19层),70.59㎡,平层,暂无数据,塔楼,东,钢混结构,简装,两梯十户,自供暖,有,70年,房屋用途,二类经济适用房
565万,90662,前门东大街,"东城,崇文门",3室0厅1厨1卫,高楼层 (共12层),62.32㎡,复式,43.8㎡,板塔结合,南 北,混合结构,精装,一梯二十五户,集中供暖,有,70年,房屋用途,商品房
990万,108410,中海紫御公馆,"东城,陶然亭",2室2厅1厨1卫,中楼层 (共21层),91.32㎡,平层,71.85㎡,板塔结合,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
450万,111635,崇文门东大街,"东城,崇文门",1室1厅1厨1卫,低楼层 (共14层),40.31㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,有,70年,房屋用途,商品房
640万,98492,东直门内大街,"东城,东直门",2室1厅1厨1卫,高楼层 (共12层),64.98㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,房屋用途,商品房
420万,54724,冠城名敦道,"东城,广渠门",1室0厅0厨0卫,中楼层 (共23层),76.75㎡,平层,57.7㎡,塔楼,东,钢混结构,简装,四梯十三户,集中供暖,有,70年,房屋用途,商品房
800万,99330,外交部街,"东城,建国门内",3室1厅1厨1卫,中楼层 (共6层),80.54㎡,平层,暂无数据,板楼,南 西 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
638万,59616,冠城名敦道,"东城,广渠门",2室1厅1厨2卫,低楼层 (共23层),107.02㎡,平层,75.43㎡,塔楼,东,钢混结构,精装,七梯二十三户,集中供暖,有,70年,房屋用途,商品房
485万,64831,华龙美晟,"东城,永定门",2室1厅1厨1卫,高楼层 (共12层),74.81㎡,平层,60.99㎡,塔楼,南,钢混结构,简装,三梯十四户,自供暖,有,70年,房屋用途,商品房
750万,98737,新景家园西区,"东城,崇文门",2室1厅1厨1卫,高楼层 (共14层),75.96㎡,平层,62.12㎡,板楼,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,房屋用途,二类经济适用房
453万,70671,华龙美晟,"东城,永定门",2室1厅1厨1卫,顶层 (共12层),64.1㎡,平层,51.74㎡,板塔结合,北,钢混结构,简装,一梯五户,自供暖,有,70年,房屋用途,商品房
430万,61720,永铁苑,"东城,陶然亭",2室1厅1厨1卫,低楼层 (共22层),69.67㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯十二户,集中供暖,有,70年,房屋用途,商品房
504万,79433,东环居苑,"东城,广渠门",1室1厅1厨1卫,高楼层 (共22层),63.45㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯十一户,集中供暖,有,70年,房屋用途,商品房
675万,97488,北总布胡同,"东城,建国门内",2室1厅1厨1卫,底层 (共6层),69.24㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,央产房
576万,80515,广渠家园,"东城,广渠门",2室2厅1厨1卫,中楼层 (共29层),71.54㎡,平层,57.11㎡,板塔结合,西,钢混结构,精装,三梯十二户,集中供暖,有,70年,房屋用途,商品房
489万,83733,新中西街,"东城,朝阳门外",2室1厅1厨1卫,低楼层 (共7层),58.4㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
1360万,85865,雍和家园一期,"东城,和平里",3室1厅1厨1卫,低楼层 (共16层),158.39㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,商品房
755万,96461,民安小区东直门北中街,"东城,东直门",2室1厅1厨1卫,低楼层 (共11层),78.27㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,四梯三户,集中供暖,有,70年,房屋用途,商品房
418万,111915,安德路55号院,"东城,安定门",1室1厅1厨1卫,中楼层 (共6层),37.35㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,央产房
605万,85380,海晟名苑北区,"东城,工体",1室1厅1厨1卫,低楼层 (共16层),70.86㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,五梯十二户,集中供暖,有,70年,房屋用途,商品房
499万,88023,安德路55号院,"东城,安定门",2室1厅1厨1卫,顶层 (共3层),56.69㎡,平层,56.69㎡,板楼,东 西 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,商品房
575万,92163,东中街,"东城,东直门",2室1厅1厨1卫,低楼层 (共6层),62.39㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,房屋用途,已购公房
557万,101922,西青年沟,"东城,安贞",2室1厅1厨1卫,高楼层 (共6层),54.65㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
710万,98080,小黄庄二区,"东城,安贞",3室1厅1厨1卫,底层 (共6层),72.39㎡,平层,暂无数据,板楼,南 北 西,砖混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
600万,74926,北京上舍,"东城,广渠门",2室1厅1厨1卫,低楼层 (共15层),80.08㎡,平层,62.1㎡,塔楼,南,钢混结构,精装,两梯九户,集中供暖,有,70年,房屋用途,商品房
539万,94133,前门东大街,"东城,崇文门",2室1厅1厨1卫,高楼层 (共16层),57.26㎡,平层,暂无数据,塔楼,南,混合结构,精装,一梯九户,集中供暖,有,70年,房屋用途,已购公房
930万,89674,天娇园,"东城,东花市",2室2厅1厨2卫,低楼层 (共11层),103.71㎡,暂无数据,89.82㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,房屋用途,商品房
940万,75850,左安漪园,"东城,左安门",3室2厅1厨2卫,低楼层 (共15层),123.93㎡,平层,103.04㎡,塔楼,西 北,钢混结构,简装,三梯十户,集中供暖,有,70年,房屋用途,商品房
1550万,93099,水上华城,"东城,广渠门",3室2厅1厨2卫,低楼层 (共23层),166.49㎡,平层,137.48㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,房屋用途,商品房
686万,135896,交道口北二条35号院,"东城,交道口",2室1厅1厨1卫,底层 (共6层),50.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,房屋用途,商品房
935万,96412,竹杆胡同,"东城,朝阳门内",3室2厅1厨1卫,低楼层 (共16层),96.98㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,二类经济适用房
940万,103048,中海紫御公馆,"东城,陶然亭",2室2厅1厨1卫,中楼层 (共18层),91.22㎡,平层,72.35㎡,板塔结合,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,房屋用途,商品房
1150万,114978,府上嘉园,"东城,安定门",2室1厅1厨1卫,低楼层 (共11层),100.02㎡,平层,76.38㎡,板塔结合,西,钢混结构,精装,两梯七户,集中供暖,有,70年,房屋用途,商品房
1350万,118776,东四十条,"东城,东四",3室1厅1厨1卫,高楼层 (共18层),113.66㎡,平层,100㎡,塔楼,东 南 北,混合结构,精装,两梯七户,集中供暖,有,70年,房屋用途,商品房
600万,129758,禾风相府,"东城,金宝街",1室1厅1厨1卫,中楼层 (共14层),46.24㎡,平层,暂无数据,板楼,西,钢混结构,精装,一梯五户,集中供暖,有,70年,房屋用途,商品房
945万,85174,远洋德邑,"东城,广渠门",2室1厅1厨1卫,高楼层 (共22层),110.95㎡,平层,87.74㎡,塔楼,东北,钢混结构,简装,三梯十三户,集中供暖,有,70年,房屋用途,商品房
840万,93887,新景家园东区,"东城,崇文门",2室1厅1厨1卫,顶层 (共17层),89.47㎡,平层,72.99㎡,板塔结合,南,钢混结构,简装,两梯四户,自供暖,有,70年,房屋用途,私产
968万,111792,车辇店胡同,"东城,安定门",3室1厅1厨1卫,中楼层 (共11层),86.59㎡,平层,暂无数据,板楼,东 南,钢混结构,简装,一梯四户,集中供暖,有,70年,房屋用途,已购公房
1160万,99554,新景家园西区,"东城,崇文门",2室1厅1厨1卫,低楼层 (共12层),116.52㎡,平层,88.62㎡,板楼,东北,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
725万,80753,金鱼池中区,"东城,天坛",2室1厅1厨1卫,中楼层 (共7层),89.78㎡,平层,79.76㎡,板塔结合,东北,钢混结构,精装,一梯三户,自供暖,无,70年,房屋用途,商品房
610万,74737,北京上舍,"东城,广渠门",2室1厅1厨1卫,中楼层 (共15层),81.62㎡,平层,62.86㎡,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,房屋用途,商品房
1250万,83412,东中公寓,"东城,东直门",3室2厅1厨3卫,低楼层 (共12层),149.86㎡,平层,116.3㎡,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,房屋用途,商品房
575万,66474,富莱茵花园,"东城,永定门",3室1厅1厨1卫,中楼层 (共6层),86.5㎡,平层,58.5㎡,板楼,南 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,私产
678万,76369,华龙美晟,"东城,永定门",2室1厅1厨1卫,中楼层 (共12层),88.78㎡,平层,69.13㎡,板塔结合,东 西,钢混结构,精装,一梯三户,自供暖,有,70年,房屋用途,商品房
1100万,129993,府上嘉园,"东城,安定门",2室2厅1厨1卫,低楼层 (共11层),84.62㎡,平层,64.62㎡,板塔结合,南,钢混结构,精装,两梯七户,集中供暖,有,70年,房屋用途,二类经济适用房
450万,94301,东花市北里中区,"东城,东花市",1室1厅1厨1卫,中楼层 (共6层),47.72㎡,平层,暂无数据,塔楼,西,混合结构,简装,一梯三十六户,集中供暖,无,70年,房屋用途,商品房
800万,110391,和平里七区,"东城,和平里",3室1厅1厨1卫,中楼层 (共5层),72.47㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,房屋用途,已购公房
720万,110958,北新仓胡同,"东城,东直门",2室1厅1厨1卫,中楼层 (共7层),64.89㎡,平层,64.89㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,二类经济适用房
508万,77040,景泰东里,"东城,蒲黄榆",2室1厅1厨1卫,中楼层 (共6层),65.94㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
1208万,99860,上龙西里,"东城,安定门",2室2厅1厨1卫,中楼层 (共18层),120.97㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
630万,103228,安德里北街25号院,"东城,安定门",2室1厅1厨1卫,低楼层 (共17层),61.03㎡,平层,暂无数据,塔楼,西北,钢混结构,其他,两梯七户,集中供暖,有,70年,房屋用途,已购公房
1166万,97869,京禧阁,"东城,广渠门",2室2厅1厨2卫,低楼层 (共22层),119.14㎡,平层,97.73㎡,塔楼,西南,钢混结构,精装,四梯十户,集中供暖,有,70年,房屋用途,商品房
510万,81457,光明楼,"东城,广渠门",2室0厅1厨1卫,顶层 (共4层),62.61㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
680万,123368,和平里五区,"东城,和平里",2室1厅1厨1卫,中楼层 (共6层),55.12㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,商品房
706万,109611,北河沿大街,"东城,灯市口",2室1厅1厨1卫,中楼层 (共6层),64.41㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
1490万,85929,华府景园,"东城,安定门",3室1厅1厨2卫,中楼层 (共16层),173.4㎡,平层,暂无数据,塔楼,东 东南 西,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,私产
570万,101859,青年湖东里,"东城,安定门",2室1厅1厨1卫,低楼层 (共6层),55.96㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
748万,100322,民安小区东直门内北小街,"东城,东直门",2室1厅1厨1卫,中楼层 (共16层),74.56㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,四梯三户,集中供暖,有,70年,房屋用途,商品房
680万,85278,东方银座,"东城,东直门",1室1厅1厨1卫,高楼层 (共26层),79.74㎡,平层,55.38㎡,塔楼,南,框架结构,简装,三梯八户,集中供暖,有,70年,房屋用途,商品房
620万,104890,万国城MOMA,"东城,东直门",1室1厅1厨1卫,低楼层 (共27层),59.11㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯十二户,集中供暖,有,70年,房屋用途,商品房
1100万,78065,天天家园,"东城,永定门",3室2厅1厨1卫,高楼层 (共10层),140.91㎡,平层,116.15㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,房屋用途,商品房
1750万,113992,富贵园四区,"东城,东花市",4室2厅1厨2卫,低楼层 (共6层),153.52㎡,平层,125.77㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
1450万,79794,东花市北里西区,"东城,东花市",3室2厅1厨2卫,高楼层 (共6层),181.72㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,央产房
2099万,119690,新怡家园,"东城,崇文门",3室2厅1厨2卫,高楼层 (共13层),175.37㎡,复式,148.42㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,房屋用途,商品房
1260万,56896,胜古中路1号院,"东城,安贞",4室2厅1厨2卫,低楼层 (共14层),221.46㎡,平层,190.36㎡,板楼,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,房屋用途,商品房
1200万,57135,新世界中心,"东城,崇文门",3室1厅1厨2卫,高楼层 (共16层),210.03㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯二十四户,集中供暖,有,50年,房屋用途,商品房
545万,98822,培新街乙5号院,"东城,广渠门",1室1厅1厨1卫,底层 (共17层),55.15㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,房屋用途,商品房
980万,101671,国瑞城中区,"东城,崇文门",3室1厅1厨1卫,低楼层 (共16层),96.39㎡,平层,76.61㎡,板塔结合,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,二类经济适用房
1590万,100691,国瑞城东区,"东城,崇文门",3室2厅1厨2卫,中楼层 (共16层),157.91㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,房屋用途,商品房
715万,97425,青年湖东里,"东城,安定门",3室1厅1厨1卫,高楼层 (共6层),73.39㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
1790万,110604,宝钞苑,"东城,安定门",3室2厅1厨2卫,高楼层 (共7层),161.84㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,房屋用途,私产
1380万,116791,东交民巷13号院,"东城,前门",3室2厅1厨2卫,中楼层 (共14层),118.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,房屋用途,已购公房
1180万,134183,富贵园一区,"东城,东花市",2室1厅1厨1卫,底层 (共10层),87.94㎡,平层,73.28㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
3300万,108693,万国城MOMA,"东城,东直门",3室3厅1厨4卫,顶层 (共26层),303.61㎡,平层,暂无数据,板楼,东 南 北,钢混结构,精装,四梯四户,集中供暖,有,70年,房屋用途,商品房
784万,60927,桃杨路教师楼,"东城,永定门",4室2厅1厨2卫,顶层 (共6层),128.68㎡,跃层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,商品房
2350万,133440,新世界家园,"东城,崇文门",3室2厅1厨2卫,高楼层 (共9层),176.11㎡,平层,154.27㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
2630万,103650,朝阳首府,"东城,朝阳门内",4室2厅1厨2卫,顶层 (共11层),253.74㎡,平层,209.13㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
