售价,每平米,小区名称,所处区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,房屋用途,交易权属
680万,70328,幸福家园三期,"东城,广渠门",2室1厅1厨1卫,中楼层 (共12层),96.69㎡,平层,75.99㎡,板塔结合,北,钢混结构,毛坯,两梯九户,集中供暖,有,70年,房屋用途,商品房
858万,111982,新景家园东区,"东城,崇文门",2室1厅1厨1卫,高楼层 (共17层),76.62㎡,平层,62.49㎡,板塔结合,东南,钢混结构,精装,两梯四户,自供暖,有,70年,房屋用途,私产
478万,86563,新奥洋房,"东城,永定门",1室1厅1厨1卫,高楼层 (共11层),55.22㎡,平层,43.73㎡,板塔结合,西,钢混结构,简装,一梯五户,自供暖,有,70年,房屋用途,商品房
920万,61634,雅安国际公寓,"东城,建国门内",2室1厅1厨2卫,高楼层 (共19层),149.27㎡,平层,116.22㎡,塔楼,西北,钢混结构,简装,两梯四户,集中供暖,有,70年,房屋用途,商品房
825万,71827,国瑞城西区,"东城,崇文门",1室1厅1厨2卫,中楼层 (共16层),114.86㎡,平层,77.61㎡,塔楼,西,钢混结构,精装,八梯二十九户,集中供暖,有,70年,房屋用途,商品房
769万,106275,东总布胡同19号院,"东城,建国门内",2室1厅1厨1卫,低楼层 (共16层),72.36㎡,平层,1㎡,塔楼,南,钢混结构,毛坯,两梯七户,集中供暖,有,70年,房屋用途,央产房
348万,53203,金鱼池西区,"东城,天坛",2室1厅1厨1卫,地下室 (共7层),65.41㎡,平层,58.9㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,房屋用途,私产
470万,74853,李村,"东城,永定门",2室1厅1厨1卫,低楼层 (共6层),62.79㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
535万,99001,朝阳门内大街甲190号院,"东城,金宝街",2室1厅1厨1卫,顶层 (共6层),54.04㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,暂无数据,无,70年,房屋用途,已购公房
1030万,88329,新景家园西区,"东城,崇文门",2室1厅1厨1卫,低楼层 (共12层),116.61㎡,平层,88.69㎡,板楼,东北,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
799万,101255,民安小区东扬威街,"东城,东直门",2室1厅1厨1卫,中楼层 (共11层),78.91㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,二类经济适用房
718万,108427,春秀路,"东城,工体",2室1厅1厨1卫,高楼层 (共21层),66.22㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,央产房
868万,76842,元嘉国际公寓,"东城,东直门",2室1厅1厨1卫,中楼层 (共10层),112.96㎡,复式,83.15㎡,塔楼,南 北,钢混结构,简装,五梯三十八户,集中供暖,有,70年,房屋用途,商品房
785万,111744,东公街64号院,"东城,地安门",3室1厅1厨1卫,中楼层 (共6层),70.25㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
423万,73784,车站路6号院,"东城,陶然亭",2室1厅1厨1卫,中楼层 (共5层),57.33㎡,平层,40.8㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
875万,97266,上龙西里,"东城,安定门",2室1厅1厨1卫,中楼层 (共11层),89.96㎡,平层,69.74㎡,板楼,东,钢混结构,简装,一梯五户,集中供暖,有,70年,房屋用途,二类经济适用房
600万,95893,保利蔷薇,"东城,广渠门",1室1厅1厨1卫,底层 (共16层),62.57㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
710万,72501,丽水湾畔家园,"东城,广渠门",2室1厅1厨1卫,高楼层 (共21层),97.93㎡,平层,78.77㎡,塔楼,西,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,商品房
550万,72302,新永外文化用品商城,"东城,永定门",2室1厅1厨1卫,中楼层 (共15层),76.07㎡,平层,57.98㎡,板塔结合,南 北,钢混结构,简装,三梯二十三户,集中供暖,有,70年,房屋用途,商品房
1100万,127803,富贵园一区,"东城,东花市",2室1厅1厨1卫,中楼层 (共11层),86.07㎡,平层,71.86㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
660万,97159,东直门内大街,"东城,东直门",2室1厅1厨1卫,底层 (共16层),67.93㎡,平层,暂无数据,塔楼,东,钢混结构,简装,两梯十户,集中供暖,有,70年,房屋用途,二类经济适用房
789万,109782,南门仓胡同,"东城,朝阳门内",2室1厅1厨1卫,顶层 (共6层),71.87㎡,平层,暂无数据,板楼,西北,钢混结构,简装,一梯两户,集中供暖,无,70年,房屋用途,二类经济适用房
540万,102428,兴隆都市馨园,"东城,崇文门",1室1厅1厨1卫,中楼层 (共7层),52.72㎡,平层,48.57㎡,板塔结合,南,钢混结构,简装,一梯四户,自供暖,无,70年,房屋用途,商品房
800万,108152,兴隆都市馨园,"东城,崇文门",2室1厅1厨1卫,底层 (共6层),73.97㎡,平层,67.41㎡,板楼,东 南 北,钢混结构,精装,一梯四户,自供暖,无,70年,房屋用途,商品房
725万,92937,民安小区东直门北中街,"东城,东直门",2室1厅1厨1卫,中楼层 (共13层),78.01㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,四梯三户,集中供暖,有,70年,房屋用途,二类经济适用房
710万,106034,北新仓胡同,"东城,东直门",2室1厅1厨1卫,中楼层 (共14层),66.96㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,二类经济适用房
610万,91400,青年湖东里,"东城,安定门",3室1厅1厨1卫,中楼层 (共18层),66.74㎡,平层,暂无数据,塔楼,东北,混合结构,简装,两梯七户,集中供暖,有,70年,房屋用途,已购公房
628万,103648,和平里七区,"东城,和平里",2室1厅1厨1卫,中楼层 (共6层),60.59㎡,平层,45.45㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
555万,87970,本家润园三期,"东城,东花市",2室1厅1厨1卫,低楼层 (共18层),63.09㎡,平层,51.94㎡,板塔结合,西,钢混结构,简装,三梯十八户,集中供暖,有,70年,房屋用途,二类经济适用房
590万,100392,国瑞城中区,"东城,崇文门",1室1厅1厨1卫,低楼层 (共16层),58.77㎡,平层,46.65㎡,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,二类经济适用房
951万,91285,富贵园二区,"东城,东花市",3室1厅1厨1卫,低楼层 (共18层),104.18㎡,平层,82.77㎡,板塔结合,西南,钢混结构,简装,三梯十七户,集中供暖,有,70年,房屋用途,商品房
705万,96629,东水井胡同,"东城,朝阳门内",2室1厅1厨1卫,低楼层 (共15层),72.96㎡,平层,57.94㎡,塔楼,东 西,混合结构,精装,两梯三户,集中供暖,有,70年,房屋用途,二类经济适用房
690万,113431,安外东河沿,"东城,安定门",2室1厅1厨1卫,低楼层 (共20层),60.83㎡,平层,55㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,已购公房
530万,84194,营房西街,"东城,崇文门",2室1厅1厨1卫,底层 (共6层),62.95㎡,平层,40.6㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
760万,113824,和平里六区,"东城,和平里",2室1厅1厨1卫,低楼层 (共18层),66.77㎡,平层,66㎡,塔楼,南,钢混结构,精装,两梯七户,集中供暖,有,70年,房屋用途,商品房
478万,96274,夕照寺西里,"东城,广渠门",2室1厅1厨1卫,低楼层 (共6层),49.65㎡,平层,34.9㎡,板楼,东南,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
958万,105333,新景家园东区,"东城,崇文门",3室1厅1厨1卫,中楼层 (共17层),90.95㎡,平层,74.18㎡,板塔结合,东 西,钢混结构,简装,两梯四户,自供暖,有,70年,房屋用途,商品房
